"_time","_span","_spandays","groucho-eu","groucho-norcal","groucho-oregon","groucho-sa","groucho-singapore","groucho-sydney","groucho-tokyo","groucho-us-east","zeppo-norcal"
1362315600,86400,1,16,14,65,6,55,12,38,16,16
1362402000,86400,1,51,68,171,62,158,59,184,70,67
1362488400,86400,1,44,61,159,51,152,66,205,65,59
1362574800,86400,1,55,54,185,50,149,51,165,62,59
1362661200,86400,1,45,63,193,52,177,55,200,44,60
1362747600,86400,1,42,65,195,45,195,60,184,45,63
1362834000,86400,1,52,74,200,65,194,67,184,68,77
1362920400,86400,1,49,66,187,55,192,72,176,64,67
1363006800,86400,1,53,85,218,56,174,81,192,69,79
1363093200,86400,1,60,63,212,66,170,63,163,61,71
1363179600,86400,1,55,70,192,70,171,86,180,72,79
1363266000,86400,1,60,67,194,52,173,63,168,60,63
1363352400,86400,1,57,62,210,62,173,68,219,60,62
1363438800,86400,1,83,95,227,91,181,87,183,85,92
1363525200,86400,1,72,74,214,69,180,67,164,73,80
1363611600,86400,1,65,86,218,67,172,82,189,86,82
1363698000,86400,1,70,89,203,67,151,87,176,76,84
1363784400,86400,1,61,68,228,55,153,55,174,62,65
1363870800,86400,1,64,70,207,60,142,76,175,66,64
1363957200,86400,1,63,61,235,58,161,80,179,83,61
1364043600,86400,1,56,69,253,63,173,60,155,69,69
1364130000,86400,1,72,77,228,74,165,73,205,73,84
1364216400,86400,1,57,72,226,64,162,69,171,67,73
1364302800,86400,1,58,64,225,64,154,78,185,70,64
1364389200,86400,1,64,66,246,67,156,64,164,71,68
1364475600,86400,1,53,51,258,49,137,51,169,57,55
1364562000,86400,1,59,74,226,56,142,63,156,71,73
1364648400,86400,1,60,70,266,62,144,62,159,77,61
1364734800,86400,1,63,80,244,61,168,62,180,61,78
1364821200,86400,1,73,71,227,66,194,80,167,86,83
1364907600,86400,1,67,69,244,69,167,66,160,79,83
1364994000,86400,1,67,74,257,55,165,57,176,60,65
1365080400,86400,1,68,86,266,75,161,69,161,69,87
1365166800,86400,1,52,55,230,54,160,57,157,63,58
1365253200,90000,1,63,61,242,63,175,54,163,65,70
1365343200,86400,1,61,69,233,66,158,56,170,73,77
1365429600,86400,1,72,72,234,56,173,70,164,66,74
1365516000,86400,1,64,66,243,63,140,73,168,74,65
1365602400,86400,1,55,65,252,60,147,56,178,73,71
1365688800,86400,1,42,47,247,58,156,50,165,62,44
1365775200,86400,1,54,70,289,63,174,65,162,65,76
1365861600,86400,1,73,76,280,76,163,71,188,70,76
1365948000,86400,1,58,69,246,60,186,54,162,72,69
1366034400,86400,1,61,65,239,66,166,51,184,76,64
1366120800,86400,1,69,84,264,71,197,68,186,81,82
1366207200,86400,1,54,60,239,56,177,50,182,66,63
1366293600,86400,1,49,65,231,67,196,62,185,62,69
1366380000,86400,1,54,60,238,61,191,43,211,56,61
1366466400,86400,1,50,63,229,50,183,50,252,53,50
1366552800,86400,1,64,65,222,67,183,61,210,64,69
1366639200,86400,1,57,68,222,59,219,60,223,57,70
1366725600,86400,1,56,68,205,58,195,60,233,64,62
1366812000,86400,1,51,58,223,51,185,50,181,61,56
1366898400,86400,1,49,63,235,53,188,50,181,62,61
1366984800,86400,1,60,59,201,68,200,62,222,68,60
1367071200,86400,1,57,63,230,59,200,58,207,67,70
1367157600,86400,1,54,66,239,65,230,64,238,68,59
1367244000,86400,1,52,67,238,52,215,60,257,64,62
1367330400,86400,1,50,69,232,62,227,56,239,63,68
1367416800,86400,1,54,57,184,58,191,57,222,66,59
1367503200,86400,1,58,60,188,61,179,66,209,60,63
1367589600,86400,1,59,68,216,58,186,70,247,56,68
1367676000,86400,1,73,82,245,84,194,63,228,74,83
1367762400,86400,1,64,91,210,69,190,72,208,76,73
1367848800,86400,1,67,81,217,79,176,64,221,72,77
1367935200,86400,1,64,65,222,54,209,57,230,67,69
1368021600,86400,1,54,62,204,61,184,69,246,56,67
1368108000,86400,1,69,70,237,65,208,62,283,70,78
1368194400,86400,1,64,79,260,73,208,62,188,74,70
1368280800,86400,1,65,75,256,68,183,65,231,59,78
1368367200,86400,1,75,67,212,72,186,63,202,65,64
1368453600,86400,1,57,62,214,49,194,56,231,64,65
1368540000,86400,1,55,66,220,69,177,57,180,65,65
1368626400,86400,1,56,60,238,58,237,65,146,50,63
1368712800,86400,1,74,63,230,71,181,56,206,79,68
1368799200,86400,1,69,60,254,71,192,61,206,58,71
1368885600,86400,1,59,68,244,68,179,68,202,64,62
1368972000,86400,1,62,60,207,74,193,65,230,56,68
1369058400,86400,1,52,66,219,59,208,60,216,63,68
1369144800,86400,1,51,52,214,58,171,45,289,51,52
1369231200,86400,1,45,51,247,58,144,50,236,54,56
1369317600,86400,1,58,71,226,56,164,68,264,65,65
1369404000,86400,1,70,67,253,83,184,60,273,68,65
1369490400,86400,1,51,55,270,59,165,57,285,58,60
1369576800,86400,1,54,63,265,63,173,59,298,57,63
1369663200,86400,1,49,68,269,61,168,55,290,59,64
1369749600,86400,1,53,66,292,61,186,67,286,62,69
1369836000,86400,1,55,53,264,61,177,53,291,54,59
1369922400,86400,1,66,65,261,71,164,62,201,73,64
1370008800,86400,1,66,76,299,62,182,63,240,65,81
1370095200,86400,1,57,64,282,56,183,63,264,60,65
1370181600,86400,1,55,57,246,45,163,56,231,55,55
1370268000,86400,1,51,69,261,80,184,62,268,58,70
1370354400,86400,1,58,59,264,69,174,70,232,60,55
1370440800,86400,1,62,68,277,69,173,64,265,73,71
1370527200,86400,1,64,74,208,65,172,75,234,72,78
1370613600,86400,1,67,69,230,55,167,51,217,67,66
1370700000,86400,1,69,78,241,68,170,57,208,66,66
1370786400,86400,1,62,66,249,69,190,58,246,71,61
1370872800,86400,1,59,68,267,62,173,63,241,62,68
1370959200,86400,1,65,63,270,61,188,62,229,72,58
1371045600,86400,1,73,80,240,56,168,56,283,67,67
1371132000,86400,1,69,83,219,60,180,71,237,73,80
1371218400,86400,1,58,60,252,71,188,51,260,71,57
1371304800,86400,1,61,63,260,64,184,60,308,61,67
1371391200,86400,1,74,80,267,70,193,64,307,77,78
1371477600,86400,1,57,49,244,60,173,46,252,50,48
1371564000,86400,1,71,59,235,53,182,63,233,77,61
1371650400,86400,1,67,67,238,65,178,54,262,62,67
1371736800,86400,1,67,71,246,66,172,57,233,76,69
1371823200,86400,1,76,69,252,83,180,73,264,90,77
1371909600,86400,1,78,70,257,69,191,68,235,92,73
1371996000,86400,1,72,73,246,70,167,63,214,76,64
1372082400,86400,1,75,69,237,87,191,72,213,80,69
1372168800,86400,1,80,82,243,64,195,71,219,71,77
